LocationID,hour,cx,cy,cluster_id,intensity_hour,avg_fare_hour,avg_duration_min_hour
49,6,-73.9623635381836,40.68796745714747,3,2555,37.72460704607046,21.901174345076786
88,13,-74.01151502922315,40.70335790323616,2,2554,48.12721354166666,26.26640625
126,23,-73.88553752149437,40.812074458592114,58,2553,20.022579787234044,14.85691489361702
263,1,-73.95100987481798,40.77876585543435,2,2553,31.402303523035233,17.308310749774165
50,4,-73.99513522075517,40.76623772504189,2,2553,46.64879452054795,20.682602739726025
232,6,-73.9830245583349,40.71473250693942,2,2553,35.280651041666665,18.731727430555555
188,2,-73.94744164500473,40.658744450856695,4,2550,23.190515463917524,16.14291237113402
106,18,-73.99064727363113,40.67351279686076,3,2549,27.42774025974026,20.13839826839827
260,4,-73.9063064419788,40.7442347178015,43,2548,27.01750700280112,14.196358543417368
102,16,-73.87573576709775,40.70354561076291,67,2548,23.616560196560197,19.296969696969697
195,22,-74.00917849113297,40.67554886228086,3,2546,36.973333333333336,21.686745406824144
20,9,-73.88586748106964,40.857779675441584,31,2546,21.569736070381232,15.834652981427176
70,18,-73.8683955984202,40.76335220113318,66,2545,27.797037974683544,18.696919831223628
146,22,-73.93482888929137,40.75424252050029,2,2544,26.84237623762376,19.085684818481848
126,21,-73.88553752149437,40.812074458592114,58,2544,19.311534772182252,14.723621103117505
55,12,-73.98794343407192,40.576960753637756,61,2541,28.830646900269542,20.75309973045822
174,6,-73.87902225226026,40.8771376028766,39,2539,26.5167,17.6855
167,0,-73.90235177500072,40.82751255686402,16,2538,19.861844919786098,14.78542780748663
166,7,-73.96176359682921,40.809456961125285,2,2538,34.64541333333334,20.336044444444443
102,19,-73.87573576709775,40.70354561076291,67,2537,23.699478908188585,18.03213399503722
155,10,-73.91527709386865,40.614590989275776,54,2535,26.411757105943153,19.18535745047373
136,23,-73.90591118270508,40.8652641915249,31,2535,19.00484419263456,13.523654390934846
212,15,-73.86967965711675,40.82790214858739,31,2535,22.40427848101266,17.95350210970464
261,0,-74.01302277174901,40.70913894067185,2,2534,46.4876501305483,24.64608355091384
21,11,-73.98353709672224,40.601429439835144,65,2534,23.135459057071962,17.427874276261374
163,2,-73.97756868222714,40.76442140578679,2,2534,34.83304239401496,18.81014131338321
47,11,-73.90031590586491,40.842749176098025,31,2534,19.718418491484186,15.792619626926196
29,17,-73.9612167686685,40.58092197193379,81,2534,24.477651933701658,19.908793738489873
145,4,-73.94889145447942,40.745379433998515,9,2533,37.16608579088472,18.377122430741736
127,4,-73.91930823586193,40.8660750007278,31,2532,31.14728021978022,15.840201465201464
224,10,-73.97659767323344,40.73182063601676,2,2532,32.701043956043954,19.619139194139194
197,5,-73.83092407449993,40.69454235438128,36,2532,24.797301136363636,15.2359375
28,15,-73.80872901637515,40.7115963579451,62,2531,25.38035,19.702416666666664
149,16,-73.94813559494116,40.604913595563765,68,2530,22.09839285714286,18.2374503968254
157,16,-73.90232968131362,40.7239950749335,60,2530,24.49616847826087,19.92848731884058
196,9,-73.86333855806278,40.72615563957924,63,2529,26.991230769230768,18.552692307692308
130,5,-73.79397965822719,40.7043687774551,12,2527,28.66033419023136,16.670265638389033
218,14,-73.77303565610488,40.672089706767316,72,2526,23.601564986737397,18.100574712643677
206,8,-74.10231250352763,40.63897220516651,76,2525,19.729529702970297,13.576856435643565
237,6,-73.9656345353807,40.76861518381156,2,2524,44.51943765281174,18.43031784841076
157,11,-73.90232968131362,40.7239950749335,60,2524,25.424683908045974,18.77116858237548
149,18,-73.94813559494116,40.604913595563765,68,2523,21.750965346534652,17.111138613861385
63,23,-73.87817261050247,40.68383976195104,55,2521,22.81020671834625,16.575753660637382
227,15,-74.00465205914722,40.641886315765205,75,2521,25.48490813648294,20.77782152230971
83,9,-73.89217338112863,40.73832381382598,74,2521,22.526962365591398,16.515367383512544
86,9,-73.75524369679601,40.602432793416696,69,2520,29.364107579462104,19.73154034229829
45,15,-73.99815149899052,40.71245931177954,2,2520,41.14846938775511,25.265178571428574
208,0,-73.8235401189195,40.82331858387751,57,2518,25.027804232804232,14.993783068783069
100,7,-73.98878659911527,40.753512758725705,2,2516,49.412729729729726,22.24171171171171
17,4,-73.94990503507509,40.69150749488067,3,2516,34.483468834688345,18.583920505871724
195,20,-74.00917849113297,40.67554886228086,3,2514,34.531313131313134,22.832870370370372
114,8,-73.99738026020044,40.728340391372306,2,2513,36.949633802816905,18.608544600938966
134,18,-73.82871246597533,40.7080509979881,73,2512,25.709658792650917,17.941338582677165
45,14,-73.99815149899052,40.71245931177954,2,2511,37.51561111111111,23.700787037037035
70,15,-73.8683955984202,40.76335220113318,66,2508,29.80705426356589,21.06959517657192
247,6,-73.92440873264256,40.828988230484576,16,2506,26.916445623342174,17.20999115826702
45,0,-73.99815149899052,40.71245931177954,2,2504,35.31024128686327,19.84579982126899
130,3,-73.79397965822719,40.7043687774551,12,2504,27.680097799511003,15.569030154849226
182,16,-73.85798694048574,40.83774866435355,40,2504,22.83149732620321,19.089349376114082
69,1,-73.91502929553265,40.83141669708521,16,2502,22.70720297029703,15.028424092409242
123,19,-73.96433367133906,40.59995429251392,64,2501,22.385820512820512,15.185598290598291
152,17,-73.95378223705632,40.81797514762944,2,2500,28.25576530612245,20.005867346938775
227,14,-74.00465205914722,40.641886315765205,75,2500,26.845470297029703,21.82009075907591
121,8,-73.80244428186215,40.72833332297301,71,2500,25.328406593406594,19.083287545787545
81,12,-73.836643344083,40.8809354114894,38,2499,22.353087818696885,15.990132200188857
32,10,-73.86490099876723,40.86400220602362,31,2499,22.611074380165288,16.276675849403123
21,16,-73.98353709672224,40.601429439835144,65,2496,23.512543859649124,18.871393762183235
146,16,-73.93482888929137,40.75424252050029,2,2495,32.19454293628809,24.949630655586336
10,22,-73.79098635986955,40.67895331011524,41,2495,21.850235988200588,15.355850540806292
249,5,-74.00287495910837,40.73457600733176,2,2493,51.80281842818429,21.44141824751581
107,3,-73.98405213268916,40.73682405761897,2,2492,34.178959537572254,17.20183044315992
244,2,-73.94139910573638,40.84170877111975,16,2492,24.0293094629156,13.60144927536232
185,21,-73.85439380221179,40.854404712689245,40,2491,22.065948717948718,15.198461538461537
